api_group,tags,operationId,summary,description,deprecated,method,path,full_url_template,consumes,produces,parameters_count,responses_count,security
pet,pet,uploadFile,uploads an image,,False,POST,/pet/{petId}/uploadImage,https://petstore.swagger.io/v2/pet/{petId}/uploadImage,multipart/form-data,application/json,3,1,"petstore_auth(write:pets, read:pets)"
pet,pet,addPet,Add a new pet to the store,,False,POST,/pet,https://petstore.swagger.io/v2/pet,"application/json, application/xml","application/json, application/xml",1,1,"petstore_auth(write:pets, read:pets)"
pet,pet,updatePet,Update an existing pet,,False,PUT,/pet,https://petstore.swagger.io/v2/pet,"application/json, application/xml","application/json, application/xml",1,3,"petstore_auth(write:pets, read:pets)"
pet,pet,findPetsByStatus,Finds Pets by status,Multiple status values can be provided with comma separated strings,False,GET,/pet/findByStatus,https://petstore.swagger.io/v2/pet/findByStatus,,"application/json, application/xml",1,2,"petstore_auth(write:pets, read:pets)"
pet,pet,findPetsByTags,Finds Pets by tags,"Multiple tags can be provided with comma separated strings. Use tag1, tag2, tag3 for testing.",True,GET,/pet/findByTags,https://petstore.swagger.io/v2/pet/findByTags,,"application/json, application/xml",1,2,"petstore_auth(write:pets, read:pets)"
pet,pet,getPetById,Find pet by ID,Returns a single pet,False,GET,/pet/{petId},https://petstore.swagger.io/v2/pet/{petId},,"application/json, application/xml",1,3,api_key
pet,pet,updatePetWithForm,Updates a pet in the store with form data,,False,POST,/pet/{petId},https://petstore.swagger.io/v2/pet/{petId},application/x-www-form-urlencoded,"application/json, application/xml",3,1,"petstore_auth(write:pets, read:pets)"
pet,pet,deletePet,Deletes a pet,,False,DELETE,/pet/{petId},https://petstore.swagger.io/v2/pet/{petId},,"application/json, application/xml",2,2,"petstore_auth(write:pets, read:pets)"
store,store,getInventory,Returns pet inventories by status,Returns a map of status codes to quantities,False,GET,/store/inventory,https://petstore.swagger.io/v2/store/inventory,,application/json,0,1,api_key
store,store,placeOrder,Place an order for a pet,,False,POST,/store/order,https://petstore.swagger.io/v2/store/order,application/json,"application/json, application/xml",1,2,
store,store,getOrderById,Find purchase order by ID,For valid response try integer IDs with value >= 1 and <= 10. Other values will generated exceptions,False,GET,/store/order/{orderId},https://petstore.swagger.io/v2/store/order/{orderId},,"application/json, application/xml",1,3,
store,store,deleteOrder,Delete purchase order by ID,For valid response try integer IDs with positive integer value. Negative or non-integer values will generate API errors,False,DELETE,/store/order/{orderId},https://petstore.swagger.io/v2/store/order/{orderId},,"application/json, application/xml",1,2,
user,user,createUsersWithListInput,Creates list of users with given input array,,False,POST,/user/createWithList,https://petstore.swagger.io/v2/user/createWithList,application/json,"application/json, application/xml",1,1,
user,user,getUserByName,Get user by user name,,False,GET,/user/{username},https://petstore.swagger.io/v2/user/{username},,"application/json, application/xml",1,3,
user,user,updateUser,Updated user,This can only be done by the logged in user.,False,PUT,/user/{username},https://petstore.swagger.io/v2/user/{username},application/json,"application/json, application/xml",2,2,
user,user,deleteUser,Delete user,This can only be done by the logged in user.,False,DELETE,/user/{username},https://petstore.swagger.io/v2/user/{username},,"application/json, application/xml",1,2,
user,user,loginUser,Logs user into the system,,False,GET,/user/login,https://petstore.swagger.io/v2/user/login,,"application/json, application/xml",2,2,
user,user,logoutUser,Logs out current logged in user session,,False,GET,/user/logout,https://petstore.swagger.io/v2/user/logout,,"application/json, application/xml",0,1,
user,user,createUsersWithArrayInput,Creates list of users with given input array,,False,POST,/user/createWithArray,https://petstore.swagger.io/v2/user/createWithArray,application/json,"application/json, application/xml",1,1,
user,user,createUser,Create user,This can only be done by the logged in user.,False,POST,/user,https://petstore.swagger.io/v2/user,application/json,"application/json, application/xml",1,1,
